Percentage,Features,Probability
0.0,0,0.0
0.05,422,89.98
0.1,16,3.41
0.15,11,2.35
0.2,3,0.64
0.25,8,1.71
0.3,1,0.21
0.35,1,0.21
0.4,2,0.43
0.45,0,0.0
0.5,0,0.0
0.55,0,0.0
0.6,0,0.0
0.65,0,0.0
0.7,0,0.0
0.75,1,0.21
0.8,0,0.0
0.85,0,0.0
0.9,0,0.0
0.95,3,0.64
1.0,1,0.21
