Feature,key1,key2
DEPLOYMENTSPEC_revisionHistoryLimit,deploymentspec_revisionHistoryLimit,-
DEPLOYMENTSPEC_selector,deploymentspec_selector,-
SELECTOR_matchLabels,deploymentspec_selector_matchLabels,-
MATCHLABELS_key,deploymentspec_selector_matchLabels_key,-
MATCHLABELS_value,deploymentspec_selector_matchLabels_value,-
SELECTOR_matchExpressions,deploymentspec_selector_matchExpressions,-
MATCHEXPRESSIONS_key,deploymentspec_selector_matchExpressions_key,-
MATCHEXPRESSIONS_operator,deploymentspec_selector_matchExpressions_operator,-
OPERATOR_in,-,-
OPERATOR_notIn,-,-
OPERATOR_exist,-,-
OPERATOR_doesNotExist,,-
OPERATOR_gt,-,-
OPERATOR_lt,-,-
MATCHEXPRESSIONS_values,deploymentspec_selector_matchExpressions_values,-
MATCHEXPRESSIONS_value,-,-
DEPLOYMENTSPEC_strategy,deploymentspec_strategy,-
STRATEGY_type,deploymentspec_strategy_type,-
STRATEGY_TYPE_Recreate,deploymentspec_strategy_type_Recreate,-
STRATEGY_TYPE_RollingUpdate,deploymentspec_strategy_type_RollingUpdate,-
maxUnavailable,deploymentspec_strategy_rollingUpdate_maxUnavailable,-
maxSurge,deploymentspec_strategy_rollingUpdate_maxSurge,-
DEPLOYMENTSPEC_template,deploymentspec_template,-
DEPLOYMENTSPEC_TEMPLATE_metadata,deploymentspec_template_metadata,-
TEMPLATE_METADATA_name,deploymentspec_template_metadata_name,-
TEMPLATE_METADATA_namespace,deploymentspec_template_metadata_namespace,-
TEMPLATE_METADATA_labels,deploymentspec_template_metadata_labels,-
TEMPLATE_METADATA_LABELS_key,-,-
TEMPLATE_METADATA_LABELS_value,,-
TEMPLATE_METADATA_annotations,deploymentspec_template_metadata_annotations,-
TEMPLATE_METADATA_ANNOTATIONS_key,-,-
TEMPLATE_METADATA_ANNOTATIONS_value,-,-
TEMPLATE_METADATA_deletionGracePeriodSeconds,deploymentspec_template_metadata_deletionGracePeriodSeconds,-
TEMPLATE_METADATA_finalizers,deploymentspec_template_metadata_finalizers,-
TEMPLATE_METADATA_generateName,deploymentspec_template_metadata_generateName,-
TEMPLATE_METADATA_managedFields,deploymentspec_template_metadata_managedFields,-
TEMPLATE_METADATA_MANAGEFIELDS_apiversion,deploymentspec_template_metadata_managedFields_apiVersion,-
TEMPLATE_METADATA_MANAGEFIELDS_fieldsType,deploymentspec_template_metadata_managedFields_fieldsType,- 
TEMPLATE_METADATA_MANAGEFIELDS_fieldsV1,deploymentspec_template_metadata_managedFields_fieldsV1,- 
TEMPLATE_METADATA_MANAGEFIELDS_manager,deploymentspec_template_metadata_managedFields_manager,- 
TEMPLATE_METADATA_MANAGEFIELDS_operation,deploymentspec_template_metadata_managedFields_operation,- 
TEMPLATE_METADATA_MANAGEFIELDS_OPERATION_apply,deploymentspec_template_metadata_managedFields_operation_apply,-
TEMPLATE_METADATA_MANAGEFIELDS_OPERATION_update,deploymentspec_template_metadata_managedFields_operation_update,-
TEMPLATE_METADATA_MANAGEFIELDS_subresource,deploymentspec_template_metadata_managedFields_subresource,- 
TEMPLATE_METADATA_MANAGEFIELDS_time,deploymentspec_template_metadata_managedFields_time,- 
TEMPLATE_METADATA_ownerReferences,deploymentspec_template_metadata_ownerReferences,- 
TEMPLATE_METADATA_OWNERREFERENCES_apiVersion,deploymentspec_template_metadata_ownerReferences_apiVersion,- 
TEMPLATE_METADATA_OWNERREFERENCES_kind,deploymentspec_template_metadata_ownerReferences_kind,- 
TEMPLATE_METADATA_OWNERREFERENCES_name,deploymentspec_template_metadata_ownerReferences_name,- 
TEMPLATE_METADATA_OWNERREFERENCES_uid,deploymentspec_template_metadata_ownerReferences_uid,- 
TEMPLATE_METADATA_OWNERREFERENCES_blockOwnerDeletion,deploymentspec_template_metadata_ownerReferences_blockOwnerDeletion,- 
TEMPLATE_METADATA_OWNERREFERENCES_controller,deploymentspec_template_metadata_ownerReferences_controller,- 
DEPLOYMENTSPEC_TEMPLATE_podspec,deploymentspec_template_spec,-
PodSpec,podspec,deploymentspec_template_spec
PODSPEC_containers,podspec_containers,deploymentspec_template_spec_containers
CONTAINERS_name,podspec_containers_name,deploymentspec_template_spec_containers_name
CONTAINERS_image,podspec_containers_image,deploymentspec_template_spec_containers_image
CONTAINERS_args,podspec_containers_args,spec_containers_args
CONTAINERS_ARGS_value,-,-
CONTAINERS_command,podspec_containers_command,deploymentspec_template_spec_containers_command
CONTAINERS_COMMAND_value,-,-
CONTAINERS_env,podspec_containers_env,deploymentspec_template_spec_containers_env
CONTAINERS_ENV_name,podspec_containers_env_name,deploymentspec_template_spec_containers_env_name
CONTAINERS_ENV_value,podspec_containers_env_value,deploymentspec_template_spec_containers_env_value
CONTAINERS_ENV_valueFrom,podspec_containers_env_valueFrom,deploymentspec_template_spec_containers_env_valueFrom
configMapKeyRef,podspec_containers_env_valueFrom_configMapKeyRef,deploymentspec_template_spec_containers_env_valueFrom_configMapKeyRef
CONFIGMAPKEYREF_name,podspec_containers_env_valueFrom_configMapKeyRef_name,deploymentspec_template_spec_containers_env_valueFrom_configMapKeyRef_name
CONFIGMAPKEYREF_key,podspec_containers_env_valueFrom_configMapKeyRef_key,deploymentspec_template_spec_containers_env_valueFrom_configMapKeyRef_key
